name,Price
"Riccardo Orsolini
Italien - Angreb",4000000.0
"Mark Flekken
Holland - Mål",4000000.0
"Nathan Ake
Holland - Forsvar",4000000.0
"Virgil van Dijk
Holland - Forsvar",4000000.0
"Tijjani Reijnders
Holland - Midtbane",4000000.0
"Wout Weghorst
Holland - Angreb",4000000.0
"Diogo Dalot
Portugal - Forsvar",4000000.0
"Scott McTominay
Skotland - Midtbane",4000000.0
"Dusan Tadic
Serbien - Midtbane",4000000.0
"Alejandro 'Alex' Remiro
Spanien - Mål",4000000.0
"Robin Le Normand
Spanien - Forsvar",4000000.0
"Aymeric Laporte
Spanien - Forsvar",4000000.0
"Alejandro 'Alex' Grimaldo
Spanien - Forsvar",4000000.0
"Fabian Ruiz
Spanien - Midtbane",4000000.0
"Gerard Moreno
Spanien - Angreb",4000000.0
"Nico Williams
Spanien - Angreb",4000000.0
"Lamine Yamal
Spanien - Angreb",4000000.0
"Yann Sommer
Schweiz - Mål",4000000.0
"Mykhailo Mudryk
Ukraine - Midtbane",4000000.0
"Hakan Calhanoglu
Tyrkiet - Midtbane",4000000.0
"Kingsley Coman
Frankrig - Angreb",4000000.0
"Ansu Fati
Spanien - Angreb",4000000.0
"Robert Sanchez
Spanien - Mål",4000000.0
"Jack Grealish
England - Midtbane",4000000.0
"Jiri Pavlenka
Tjekkiet - Mål",4000000.0
"Gianluca Scamacca
Italien - Angreb",4000000.0
"Justin Bijlow
Holland - Mål",4000000.0
"Ivan Provedel
Italien - Mål",4000000.0
"Christoph Baumgartner
Østrig - Midtbane",3500000.0
"Timothy Castagne
Belgien - Forsvar",3500000.0
"Arthur Theate
Belgien - Forsvar",3500000.0
"Johan Bakayoko
Belgien - Midtbane",3500000.0
"Dodi Lukebakio
Belgien - Midtbane",3500000.0
"Michy Batshuayi
Belgien - Angreb",3500000.0
"Ivica Ivusic
Kroatien - Mål",3500000.0
"Josko Gvardiol
Kroatien - Forsvar",3500000.0
"Mario Pasalic
Kroatien - Midtbane",3500000.0
"Lovro Majer
Kroatien - Midtbane",3500000.0
"Jindrich Stanek
Tjekkiet - Mål",3500000.0
"Ladislav Krejci
Tjekkiet - Forsvar",3500000.0
"Antonin Barak
Tjekkiet - Midtbane",3500000.0
"Frederik Rønnow
Danmark - Mål",3500000.0
"Mads Hermansen
Danmark - Mål",3500000.0
"Joakim Mæhle
Danmark - Forsvar",3500000.0
"Pierre-Emile Højbjerg
Danmark - Midtbane",3500000.0
"Jonas Wind
Danmark - Angreb",3500000.0
"Kasper Dolberg
Danmark - Angreb",3500000.0
"Andreas Christensen
Danmark - Forsvar",3500000.0
"Jarrod Bowen
England - Angreb",3500000.0
"Lewis Dunk
England - Forsvar",3500000.0
"Jules Kounde
Frankrig - Forsvar",3500000.0
"Jonathan Clauss
Frankrig - Forsvar",3500000.0
"Eduardo Camavinga
Frankrig - Midtbane",3500000.0
"Youssouf Fofana
Frankrig - Midtbane",3500000.0
"Warren Zaire-Emery
Frankrig - Midtbane",3500000.0
"Maximilian Mittelstädt
Tyskland - Forsvar",3500000.0
"David Raum
Tyskland - Forsvar",3500000.0
"Pascal Gross
Tyskland - Midtbane",3500000.0
"Denes Dibusz
Ungarn - Mål",3500000.0
"Barnabas Varga
Ungarn - Angreb",3500000.0
"Alessandro Buongiorno
Italien - Forsvar",3500000.0
"Lorenzo Pellegrini
Italien - Midtbane",3500000.0
"Matthijs de Ligt
Holland - Forsvar",3500000.0
"Joey Veerman
Holland - Midtbane",3500000.0
"Donyell Malen
Holland - Angreb",3500000.0
"Wojciech Szczesny
Polen - Mål",3500000.0
"Piotr Zielinski
Polen - Midtbane",3500000.0
"Karol Swiderski
Polen - Angreb",3500000.0
"Antonio Silva
Portugal - Forsvar",3500000.0
"João Palhinha
Portugal - Midtbane",3500000.0
"Horatiu Moldovan
Rumænien - Mål",3500000.0
"Nicolae Stanciu
Rumænien - Midtbane",3500000.0
"Denis Alibec
Rumænien - Angreb",3500000.0
"Angus Gunn
Skotland - Mål",3500000.0
"Andy Robertson
Skotland - Forsvar",3500000.0
"John McGinn
Skotland - Midtbane",3500000.0
"Vanja Milinkovic-Savic
Serbien - Mål",3500000.0
"Strahinja Pavlovic
Serbien - Forsvar",3500000.0
"Sergej Milinkovic-Savic
Serbien - Midtbane",3500000.0
"Filip Kostic
Serbien - Midtbane",3500000.0
"Martin Dubravka
Slovakiet - Mål",3500000.0
"Jan Oblak
Slovenien - Mål",3500000.0
"Andraz Sporar
Slovenien - Angreb",3500000.0
"Mikel Merino
Spanien - Midtbane",3500000.0
"Martin Zubimendi
Spanien - Midtbane",3500000.0
"Yvon Mvogo
Schweiz - Mål",3500000.0
"Manuel Akanji
Schweiz - Forsvar",3500000.0
"Remo Freuler
Schweiz - Midtbane",3500000.0
"Xherdan Shaqiri
Schweiz - Midtbane",3500000.0
"Ruben Vargas
Schweiz - Angreb",3500000.0
"Andriy Lunin
Ukraine - Mål",3500000.0
"Anatolii Trubin
Ukraine - Mål",3500000.0
"Viktor Tsygankov
Ukraine - Midtbane",3500000.0
"Georgiy Sudakov
Ukraine - Midtbane",3500000.0
"Roman Yaremchuk
Ukraine - Angreb",3500000.0
"Mert Günok
Tyrkiet - Mål",3500000.0
"Ugurcan Cakir
Tyrkiet - Mål",3500000.0
"Kerem Akturkoglu
Tyrkiet - Midtbane",3500000.0
"Cengiz Ünder
Tyrkiet - Midtbane",3500000.0
"Cenk Tosun
Tyrkiet - Angreb",3500000.0
"Heinz Lindner
Østrig - Mål",3500000.0
"Marko Arnautovic
Østrig - Angreb",3500000.0
"Nico Schlotterbeck
Tyskland - Forsvar",3500000.0
"Gregor Kobel
Schweiz - Mål",3500000.0
"Andriy Yarmolenko
Ukraine - Midtbane",3500000.0
"Marc Guehi
England - Forsvar",3500000.0
"Nick Olij
Holland - Mål",3500000.0
"Frenkie de Jong
Holland - Midtbane",3500000.0
"Steven Bergwijn
Holland - Angreb",3500000.0
"Stephan El Shaarawy
Italien - Angreb",3500000.0
"Etrit Berisha
Albanien - Mål",3000000.0
"Thomas Strakosha
Albanien - Mål",3000000.0
"Berat Djimsiti
Albanien - Forsvar",3000000.0
"Nedim Bajrami
Albanien - Midtbane",3000000.0
"Armando Broja
Albanien - Angreb",3000000.0
"Tobias Lawal
Østrig - Mål",3000000.0
"Patrick Pentz
Østrig - Mål",3000000.0
"Philipp Lienhart
Østrig - Forsvar",3000000.0
"Stefan Posch
Østrig - Forsvar",3000000.0
"Konrad Laimer
Østrig - Midtbane",3000000.0
"Nicolas Seiwald
Østrig - Midtbane",3000000.0
"Patrick Wimmer
Østrig - Midtbane",3000000.0
"Wout Faes
Belgien - Forsvar",3000000.0
"Zeno Debast
Belgien - Forsvar",3000000.0
"Thomas Meunier
Belgien - Forsvar",3000000.0
"Jan Vertonghen
Belgien - Forsvar",3000000.0
"Orel Mangala
Belgien - Midtbane",3000000.0
"Amadou Onana
Belgien - Midtbane",3000000.0
"Charles De Ketelaere
Belgien - Midtbane",3000000.0
"Dominik Kotarski
Kroatien - Mål",3000000.0
"Nediljko Labrovic
Kroatien - Mål",3000000.0
"Josip Juranovic
Kroatien - Forsvar",3000000.0
"Josip Stanisic
Kroatien - Forsvar",3000000.0
"Borna Sosa
Kroatien - Forsvar",3000000.0
"Josip Sutalo
Kroatien - Forsvar",3000000.0
"Mateo Kovacic
Kroatien - Midtbane",3000000.0
"Marcelo Brozovic
Kroatien - Midtbane",3000000.0
"Nikola Vlasic
Kroatien - Midtbane",3000000.0
"Luka Ivanusec
Kroatien - Midtbane",3000000.0
"Bruno Petkovic
Kroatien - Angreb",3000000.0
"Vitezslav Jaros
Tjekkiet - Mål",3000000.0
"Vladimir Coufal
Tjekkiet - Forsvar",3000000.0
"Jakub Brabec
Tjekkiet - Forsvar",3000000.0
"Adam Hlozek
Tjekkiet - Angreb",3000000.0
"Jan Kuchta
Tjekkiet - Angreb",3000000.0
"Tomas Cvancara
Tjekkiet - Angreb",3000000.0
"Joachim Andersen
Danmark - Forsvar",3000000.0
"Simon Kjær
Danmark - Forsvar",3000000.0
"Victor Kristiansen
Danmark - Forsvar",3000000.0
"Mathias Jensen
Danmark - Midtbane",3000000.0
"Matthew O'Riley
Danmark - Midtbane",3000000.0
"Morten Hjulmand
Danmark - Midtbane",3000000.0
"Thomas Delaney
Danmark - Midtbane",3000000.0
"Yussuf Poulsen
Danmark - Angreb",3000000.0
"Christian Nørgaard
Danmark - Midtbane",3000000.0
"Ivan Toney
England - Angreb",3000000.0
"Anthony Gordon
England - Angreb",3000000.0
"Joe Gomez
England - Forsvar",3000000.0
"Ezri Konsa Ngoyo
England - Forsvar",3000000.0
"N'Golo Kante
Frankrig - Midtbane",3000000.0
"Giorgi Mamardashvili
Georgien - Mål",3000000.0
"Giorgi Chakvetadze
Georgien - Midtbane",3000000.0
"Budu Zivzivadze
Georgien - Angreb",3000000.0
"Georges Mikautadze
Georgien - Angreb",3000000.0
"Benjamin Henrichs
Tyskland - Forsvar",3000000.0
"Chris Führich
Tyskland - Midtbane",3000000.0
"Deniz Undav
Tyskland - Angreb",3000000.0
"Peter Gulacsi
Ungarn - Mål",3000000.0
"Willi Orban
Ungarn - Forsvar",3000000.0
"Roland Sallai
Ungarn - Angreb",3000000.0
"Giorgio Scalvini
Italien - Forsvar",3000000.0
"Gianluca Mancini
Italien - Forsvar",3000000.0
"Andrea Cambiaso
Italien - Forsvar",3000000.0
"Mattia Zaccagni
Italien - Midtbane",3000000.0
"Daley Blind
Holland - Forsvar",3000000.0
"Lutsharel Geertruida
Holland - Forsvar",3000000.0
"Marten de Roon
Holland - Midtbane",3000000.0
"Georginio Wijnaldum
Holland - Midtbane",3000000.0
"Marcin Bulka
Polen - Mål",3000000.0
"Lukasz Skorupski
Polen - Mål",3000000.0
"Jakub Kiwior
Polen - Forsvar",3000000.0
"Przemyslaw Frankowski
Polen - Midtbane",3000000.0
"Sebastian Szymanski
Polen - Midtbane",3000000.0
"Nicola Zalewski
Polen - Midtbane",3000000.0
"Goncalo Inacio
Portugal - Forsvar",3000000.0
"Nuno Mendes
Portugal - Forsvar",3000000.0
"Ruben Neves
Portugal - Midtbane",3000000.0
"Danilo Pereira
Portugal - Midtbane",3000000.0
"Vitinha
Portugal - Midtbane",3000000.0
"Otavio
Portugal - Midtbane",3000000.0
"Stefan Tarnovanu
Rumænien - Mål",3000000.0
"Radu Dragusin
Rumænien - Forsvar",3000000.0
"Andrei Burca
Rumænien - Forsvar",3000000.0
"Ianis Hagi
Rumænien - Midtbane",3000000.0
"Valentin Mihaila
Rumænien - Midtbane",3000000.0
"Dennis Man
Rumænien - Midtbane",3000000.0
"Denis-Mihai Dragus
Rumænien - Angreb",3000000.0
"Zander Clark
Skotland - Mål",3000000.0
"Kieran Tierney
Skotland - Forsvar",3000000.0
"Kenny McLean
Skotland - Midtbane",3000000.0
