name,pos,nation,season,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded,shots_on_target_against,goals_against,saves,save%,league,team,age,pos_y,Price
Christian Eriksen,MF,DEN,13944,11952,132,72,6846,76.19999999999999,6,12,18,6,0,0,6,0,6.0,6.0,13.8,19.8,120,408,138,0.48,0.96,1.44,0.48,1.44,0.48,1.08,1.56,0.48,1.56,540,1,3,0,0,14,4,0,0,1,4,0,73,5,1,0,0,0,0,0,0,0.0,ENG-Premier League,Manchester Utd,32-105,"CM,DM,AM",4000000.0
Ardian Ismajli,DF,ALB,13944,11976,156,138,12270,136.2,0,0,0,0,0,0,12,0,1.7999999999999998,1.7999999999999998,0.6000000000000001,2.4000000000000004,54,294,18,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.12,0.06,0.12,540,0,0,0,0,4,1,1,0,6,3,0,0,2,3,0,0,0,0,0,0,0.0,ITA-Serie A,Empoli,27-242,CB,2500000.0
Diogo Dalot,DF,POR,13944,11994,216,210,19044,211.8,12,18,30,12,0,0,36,6,10.2,10.2,17.4,27.6,312,744,666,0.36,0.54,0.8400000000000001,0.36,0.8400000000000001,0.3,0.48,0.78,0.3,0.78,540,0,0,0,0,3,0,1,0,6,4,0,15,4,4,0,0,0,0,0,0,0.0,ENG-Premier League,Manchester Utd,25-072,"LB,RM,RB",4000000.0
Philipp Lienhart,DF,AUT,13944,11976,90,84,7590,84.6,6,0,6,6,0,0,18,0,6.6000000000000005,6.6000000000000005,6.6000000000000005,13.2,84,318,18,0.42,0.0,0.42,0.42,0.42,0.48,0.48,0.96,0.48,0.96,540,1,0,0,0,3,1,0,0,2,2,0,0,4,7,0,0,0,0,0,0,0.0,GER-Bundesliga,Freiburg,27-323,CB,3000000.0
Koen Casteels,GK,BEL,13944,11952,150,150,13500,150.0,0,0,0,0,0,0,12,0,0.0,0.0,1.2000000000000002,1.2000000000000002,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.1666666666666666,GER-Bundesliga,Wolfsburg,31-339,GK,4500000.0
Thomas Strakosha,GK,ALB,13944,11970,12,6,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,5,0.2916666666666667,ENG-Premier League,Brentford,29-071,GK,3000000.0
Artem Dovbyk,FW,UKR,23240,19970,360,320,25870,287.0,240,80,320,170,70,80,20,0,242.0,179.0,62.0,241.0,180,260,1180,8.299999999999999,2.8000000000000003,11.1,5.9,8.7,8.4,2.1,10.5,6.2,8.4,536,2,0,1,1,11,5,1,0,11,5,3,0,0,0,0,0,0,0,0,0,0.0,ESP-La Liga,Girona,26-343,FW,5500000.0
Christoph Baumgartner,"MF,FW",AUT,16268,13993,224,77,8106,90.3,35,7,42,35,0,0,21,0,25.9,25.9,11.2,36.4,252,329,602,2.73,0.56,3.29,2.73,3.29,1.96,0.84,2.87,1.96,2.87,530,3,2,0,0,16,7,1,0,5,14,2,3,6,3,0,0,0,0,0,0,0.0,GER-Bundesliga,RB Leipzig,24-302,"CM,FW,RM,LM,FW,MF,AM",3500000.0
João Palhinha,MF,POR,13944,11970,198,186,16194,180.0,24,6,30,24,0,0,78,0,19.8,19.8,4.800000000000001,24.6,48,582,84,0.78,0.18,1.02,0.78,1.02,0.66,0.18,0.8400000000000001,0.66,0.8400000000000001,526,0,1,0,0,6,2,2,0,17,10,0,1,8,6,0,0,0,0,0,0,0.0,ENG-Premier League,Fulham,28-325,"CM,DM",3500000.0
Milos Kerkez,DF,HUN,16268,14021,196,154,13790,153.29999999999998,0,7,7,0,0,0,28,7,8.4,8.4,5.6000000000000005,14.0,322,308,651,0.0,0.35,0.35,0.0,0.35,0.42,0.28,0.63,0.42,0.63,518,0,0,0,0,4,1,2,1,10,10,3,13,7,4,0,0,0,0,0,0,0.0,ENG-Premier League,Bournemouth,20-204,DM,2500000.0
Wout Weghorst,FW,NED,18592,15936,224,192,15816,176.0,56,24,80,48,8,8,32,0,57.6,51.2,28.0,79.2,112,456,1056,2.56,1.12,3.68,2.16,3.28,2.64,1.28,3.92,2.32,3.6,516,3,0,0,1,24,10,1,0,10,5,0,1,4,0,0,0,0,0,0,0,0.0,GER-Bundesliga,Hoffenheim,31-296,FW,4000000.0
Denzel Dumfries,DF,NED,13944,11976,186,114,9834,109.2,24,24,48,24,0,0,12,6,13.8,13.8,29.4,42.6,300,306,882,1.32,1.32,2.64,1.32,2.64,0.72,1.62,2.34,0.72,2.34,505,0,5,0,0,5,1,1,0,10,8,2,22,2,3,0,0,0,0,0,0,0.0,ITA-Serie A,Inter,28-041,"DM,RM,RB,AM",4500000.0
Adrien Rabiot,MF,FRA,13944,11970,186,180,15906,177.0,30,18,48,30,0,0,48,0,21.0,20.4,24.6,44.400000000000006,432,720,636,1.02,0.6000000000000001,1.62,1.02,1.62,0.72,0.8400000000000001,1.56,0.66,1.5,504,1,1,0,0,12,4,1,0,6,7,0,9,4,3,0,0,0,0,0,0,0.0,ITA-Serie A,Juventus,29-056,"CM,DM",4000000.0
Giovanni Di Lorenzo,DF,ITA,13944,11958,216,216,19404,215.4,6,36,42,6,0,0,36,0,18.6,18.6,29.4,48.0,570,1824,1500,0.18,1.02,1.14,0.18,1.14,0.54,0.8400000000000001,1.32,0.54,1.32,495,0,1,0,0,8,0,3,0,6,3,2,10,6,2,0,0,0,0,0,0,0.0,ITA-Serie A,Napoli,30-299,RB,4000000.0
Danilo Pereira,DF,POR,13944,11946,156,132,11970,133.2,0,0,0,0,0,0,12,0,8.399999999999999,8.399999999999999,0.0,8.399999999999999,168,888,12,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.36,0.36,0.36,493,0,0,0,0,3,0,1,0,5,9,1,1,1,13,0,0,0,0,0,0,0.0,FRA-Ligue 1,Paris S-G,32-263,"CB,DM",3000000.0
Konrad Laimer,"DF,MF",AUT,13944,11982,174,108,10632,118.2,0,18,18,0,0,0,18,0,6.0,6.0,23.4,29.4,372,762,588,0.0,0.8999999999999999,0.8999999999999999,0.0,0.8999999999999999,0.3,1.2000000000000002,1.5,0.3,1.5,491,2,0,0,0,8,2,1,0,9,10,1,7,5,2,0,0,0,0,0,0,0.0,GER-Bundesliga,Bayern Munich,27-002,"FW,RW,RM,DM",3000000.0
Bukayo Saka,FW,ENG,16268,14007,245,245,20433,226.8,112,63,175,70,42,42,28,0,108.5,75.60000000000001,73.5,148.4,1085,882,3556,3.43,1.96,5.390000000000001,2.17,4.13,3.36,2.24,5.6000000000000005,2.31,4.55,490,4,2,0,0,18,8,0,0,4,12,1,10,2,3,0,0,0,0,0,0,0.0,ENG-Premier League,Arsenal,22-267,"FW,MF,FW,AM",7000000.0
Michael Gregoritsch,FW,AUT,13944,11964,192,114,10092,112.2,42,24,66,42,0,0,12,0,55.2,55.2,6.0,61.2,72,288,534,2.22,1.26,3.54,2.22,3.54,2.94,0.3,3.3000000000000003,2.94,3.3000000000000003,478,3,0,0,1,26,12,0,0,2,5,3,5,1,2,0,0,0,0,0,0,0.0,GER-Bundesliga,Freiburg,30-041,FW,4000000.0
Roland Sallai,"MF,FW",HUN,13944,11982,162,132,11040,122.4,18,12,30,18,0,6,36,0,47.400000000000006,42.6,21.0,63.6,282,246,834,0.8999999999999999,0.6000000000000001,1.44,0.8999999999999999,1.44,2.34,1.02,3.3600000000000003,2.1,3.12,469,2,1,0,0,19,8,1,0,9,13,2,19,4,1,0,0,0,0,0,0,0.0,GER-Bundesliga,Freiburg,27-007,"DM,AM",3000000.0
Nicola Zalewski,"DF,FW",POL,13944,12012,132,60,5808,64.80000000000001,0,6,6,0,0,0,18,6,4.800000000000001,4.800000000000001,9.6,15.0,324,198,372,0.0,0.54,0.54,0.0,0.54,0.48,0.8999999999999999,1.38,0.48,1.38,457,0,1,0,0,9,3,1,0,7,10,2,24,1,5,0,0,0,0,0,0,0.0,ITA-Serie A,Roma,22-127,"LB,LM,RM,DF,MF",3000000.0
Salih Özcan,MF,TUR,16268,13986,161,91,8288,92.4,0,0,0,0,0,0,21,0,1.4,1.4,7.0,8.4,112,399,168,0.0,0.0,0.0,0.0,0.0,0.07,0.56,0.63,0.07,0.63,455,0,1,0,0,2,1,2,0,6,6,0,3,5,6,0,0,0,0,0,0,0.0,GER-Bundesliga,Dortmund,26-139,"MF,CM,DM,AM",2500000.0
Stefan Posch,DF,AUT,13944,11982,186,174,14454,160.8,6,12,18,6,0,0,42,0,7.199999999999999,7.199999999999999,12.6,19.8,264,738,384,0.24,0.42,0.66,0.24,0.66,0.24,0.48,0.72,0.24,0.72,453,0,2,0,0,6,3,2,0,6,2,1,12,12,4,0,0,0,0,0,0,0.0,ITA-Serie A,Bologna,27-015,"DF,RB",3000000.0
Aymeric Laporte,DF,ESP,11620,9970,5,0,60,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.35,0.0,1.35,1.35,1.35,450,0,0,0,0,2,0,2,0,3,7,0,0,2,2,0,0,0,0,0,0,0.0,ENG-Premier League,Manchester City,30-002,CB,4000000.0
Andrei Ratiu,"DF,MF",ROU,11620,9990,60,30,3150,35.0,0,0,0,0,0,0,5,0,1.5,1.5,3.0,4.5,140,95,125,0.0,0.0,0.0,0.0,0.0,0.2,0.4499999999999999,0.65,0.2,0.65,450,0,1,0,0,2,0,1,0,2,3,0,14,9,2,0,0,0,0,0,0,0.0,ESP-La Liga,Rayo Vallecano,25-344,RB,2500000.0
Robin Le Normand,DF,ESP,13944,11976,174,168,14814,164.39999999999998,12,0,12,12,0,0,78,0,6.0,6.0,0.6000000000000001,7.199999999999999,126,636,6,0.42,0.0,0.42,0.42,0.42,0.24,0.0,0.24,0.24,0.24,450,1,0,0,0,6,1,1,0,3,2,0,0,3,3,0,0,0,0,0,0,0.0,ESP-La Liga,Real Sociedad,27-200,CB,4000000.0
Dayot Upamecano,DF,FRA,11620,9990,125,95,8810,98.0,5,0,5,5,0,0,15,5,8.5,8.5,2.5,10.5,140,685,50,0.25,0.0,0.25,0.25,0.25,0.4,0.1,0.55,0.4,0.55,440,1,0,0,0,5,3,1,0,7,1,0,0,4,3,0,0,0,0,0,0,0.0,GER-Bundesliga,Bayern Munich,25-215,CB,4000000.0
Federico Dimarco,DF,ITA,13944,11982,180,174,12462,138.60000000000002,30,36,66,30,0,0,0,0,17.4,16.200000000000003,51.0,66.6,306,600,1188,1.32,1.56,2.88,1.32,2.88,0.78,2.22,2.94,0.72,2.88,424,0,1,0,0,8,1,1,0,2,2,1,32,4,1,0,0,0,0,0,0,0.0,ITA-Serie A,Inter,26-201,"LB,DF,MF",4500000.0
Youri Tielemans,"MF,FW",BEL,13944,11982,192,102,9732,108.0,12,36,48,12,0,0,18,0,7.800000000000001,7.800000000000001,15.6,23.4,138,768,276,0.66,1.98,2.64,0.66,2.64,0.42,0.8400000000000001,1.26,0.42,1.26,407,0,0,0,0,6,0,0,0,4,6,0,6,4,5,0,0,0,0,0,0,0.0,ENG-Premier League,Aston Villa,27-022,"CM,MF",4000000.0
Vitinha,"MF,FW,MF,FW",POR,41832,36000,330,210,20004,222.6,72,36,108,72,0,0,18,0,55.8,55.8,36.6,93.6,396,1254,1362,7.32,2.22,9.54,7.32,9.54,5.94,2.7,8.64,5.94,8.64,402,0,0,0,0,12,0,0,0,9,9,0,15,3,0,0,0,0,0,0,0,0.0,"ITA-Serie A,FRA-Ligue 1","Paris S-G,Marseille,Genoa","24-075,24-106","MF,CM",3000000.0
Christian Nørgaard,MF,DEN,13944,11964,186,180,15030,166.8,12,6,18,12,0,0,48,0,21.0,21.0,11.4,32.400000000000006,90,966,252,0.42,0.24,0.66,0.42,0.66,0.72,0.42,1.14,0.72,1.14,397,0,0,0,0,5,2,3,0,7,3,0,6,8,9,0,0,0,0,0,0,0.0,ENG-Premier League,Brentford,30-080,"CM,MF,DM",3000000.0
Kieran Tierney,DF,SCO,11620,9985,100,70,6190,69.0,0,10,10,0,0,0,5,0,1.0,1.0,3.0,4.0,110,385,195,0.0,0.75,0.75,0.0,0.75,0.05,0.25,0.3,0.05,0.3,396,0,0,0,0,0,0,1,0,2,0,0,8,4,5,0,0,0,0,0,0,0.0,ESP-La Liga,Real Sociedad,26-359,CB,3000000.0
Rafael Leão,FW,POR,16268,13993,238,203,17584,195.3,63,63,126,63,0,0,35,0,70.0,70.0,63.7,133.70000000000002,1120,819,2051,2.24,2.24,4.48,2.24,4.48,2.52,2.24,4.760000000000001,2.52,4.760000000000001,395,1,2,0,1,6,3,0,0,6,7,0,31,2,2,0,0,0,0,0,0,0.0,ITA-Serie A,Milan,24-354,"FW,MF,FW,AM",4500000.0
Maximilian Wöber,DF,AUT,16268,13986,175,168,14462,161.0,14,21,35,14,0,0,28,7,9.1,9.1,11.2,20.3,224,896,161,0.63,0.91,1.54,0.63,1.54,0.42,0.49,0.91,0.42,0.91,392,0,0,0,0,5,1,2,0,8,3,0,11,3,4,0,0,0,0,0,0,0.0,GER-Bundesliga,Gladbach,26-115,"LB,DF,CB",2500000.0
Kingsley Coman,FW,FRA,16268,13972,119,105,7791,86.8,21,21,42,21,0,0,7,0,19.6,19.6,26.6,46.2,525,504,1470,1.68,1.68,3.43,1.68,3.43,1.54,2.17,3.71,1.54,3.71,386,2,2,0,0,14,5,0,0,1,5,0,35,3,1,0,0,0,0,0,0,0.0,GER-Bundesliga,Bayern Munich,27-351,"FW,MF,FW,AM",4000000.0
Patrick Wimmer,"FW,MF",AUT,16268,14007,98,56,4123,45.5,14,0,14,14,0,0,21,7,9.8,9.8,0.7000000000000001,10.5,56,105,308,2.17,0.0,2.17,2.17,2.17,1.54,0.14,1.68,1.54,1.68,386,0,0,0,0,8,4,1,0,10,14,2,18,5,3,0,0,0,0,0,0,0.0,GER-Bundesliga,Wolfsburg,22-365,"DM,FW,MF,RM,LM",3000000.0
Phillipp Mwene,DF,AUT,11620,9970,115,115,9980,111.0,5,10,15,5,0,0,20,5,7.0,7.0,10.0,17.0,250,365,465,0.25,0.4499999999999999,0.7000000000000001,0.25,0.7000000000000001,0.3,0.4499999999999999,0.75,0.3,0.75,386,0,0,0,0,1,1,1,0,3,3,1,19,4,4,0,0,0,0,0,0,0.0,GER-Bundesliga,Mainz 05,30-121,"LB,DF,MF,RB",2500000.0
Tijjani Reijnders,MF,NED,13944,11988,216,198,16920,187.8,18,18,36,18,0,0,48,0,19.200000000000003,19.200000000000003,22.200000000000003,42.0,528,1224,540,0.6000000000000001,0.6000000000000001,1.14,0.6000000000000001,1.14,0.6000000000000001,0.72,1.32,0.6000000000000001,1.32,385,0,0,0,0,10,6,0,0,2,3,2,4,1,2,0,0,0,0,0,0,0.0,ITA-Serie A,Milan,25-305,"MF,DM,AM",4000000.0
Phil Foden,"FW,MF",ENG,16268,14000,245,231,19999,221.9,133,56,189,133,0,0,14,0,72.10000000000001,72.10000000000001,58.8,130.9,651,1176,1883,4.2,1.75,5.95,4.2,5.95,2.31,1.82,4.13,2.31,4.13,384,0,0,0,0,3,1,0,0,3,8,0,19,3,1,0,0,0,0,0,0,0.0,ENG-Premier League,Manchester City,24-001,"FW,MF,FW,AM",7500000.0
Marcel Sabitzer,MF,AUT,16268,13958,175,161,13727,152.6,28,21,49,21,7,7,21,7,25.2,19.6,12.6,32.2,273,777,483,1.26,0.98,2.24,0.98,1.96,1.12,0.56,1.75,0.91,1.47,371,4,2,2,2,17,8,1,0,2,2,1,12,3,5,0,0,0,0,0,0,0.0,GER-Bundesliga,Dortmund,30-073,"FW,CM,FW,MF,LM",4000000.0
Mikel Merino,MF,ESP,13944,11976,192,162,14892,165.60000000000002,30,18,48,30,0,0,60,0,19.8,19.8,11.4,31.200000000000003,156,978,594,1.08,0.66,1.7399999999999998,1.08,1.7399999999999998,0.72,0.42,1.14,0.72,1.14,370,1,1,0,0,13,4,1,0,7,7,0,5,5,2,0,0,0,0,0,0,0.0,ESP-La Liga,Real Sociedad,27-342,"CM,MF",3500000.0
Brice Samba,GK,FRA,9296,7976,132,132,11880,132.0,0,0,0,0,0,0,12,0,0.0,0.0,0.8,0.8,0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0.0,FRA-Ligue 1,Lens,30-034,GK,5000000.0
Yvon Mvogo,GK,SUI,9296,7976,136,136,12240,136.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0.1874999999999999,FRA-Ligue 1,Lorient,29-358,GK,3500000.0
Willi Orban,DF,HUN,9296,7968,76,72,6328,70.4,0,0,0,0,0,0,8,0,1.6,1.6,1.6,3.2,28,388,40,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.16,0.08,0.16,360,1,0,0,0,4,2,1,0,4,0,0,2,2,1,0,0,0,0,0,0,0.0,GER-Bundesliga,RB Leipzig,31-208,CB,3000000.0
Andriy Lunin,GK,UKR,9296,7996,84,84,7560,84.0,0,0,0,0,0,0,8,0,0.0,0.0,1.2,1.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,360,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2,3,0.29,ESP-La Liga,Real Madrid,25-108,GK,3500000.0
Mark Flekken,GK,NED,9296,7972,148,148,13140,146.0,0,4,4,0,0,0,12,0,0.0,0.0,2.0,2.0,0,20,0,0.0,0.12,0.12,0.0,0.12,0.0,0.04,0.04,0.0,0.04,360,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0.25,ENG-Premier League,Brentford,30-351,GK,4000000.0
Bryan Cristante,"MF,DF",ITA,16268,13965,259,259,23023,255.5,21,28,49,21,0,0,56,0,28.0,28.0,20.3,48.3,329,1638,560,0.56,0.77,1.33,0.56,1.33,0.77,0.56,1.33,0.77,1.33,355,0,0,0,0,4,2,0,0,5,0,0,0,7,6,0,0,0,0,0,0,0.0,ITA-Serie A,Roma,29-087,"CM,DF,MF",3000000.0
Trent Alexander-Arnold,DF,ENG,9296,7992,112,100,8620,95.6,12,16,28,12,0,0,24,0,10.4,9.2,28.8,38.0,180,820,388,0.52,0.68,1.16,0.52,1.16,0.44,1.2,1.64,0.4,1.6,353,1,1,0,0,8,4,1,0,4,3,0,11,3,3,0,0,0,0,0,0,0.0,ENG-Premier League,Liverpool,25-235,"CM,DM",4500000.0
Amadou Onana,MF,BEL,9296,8004,120,92,8364,92.8,8,0,8,8,0,0,20,0,8.0,8.0,10.8,18.8,84,428,156,0.36,0.0,0.36,0.36,0.36,0.36,0.44,0.8,0.36,0.8,347,0,0,0,0,4,1,2,1,7,8,0,0,6,3,0,0,0,0,0,0,0.0,ENG-Premier League,Everton,22-287,CM,3000000.0
Francesco Acerbi,DF,ITA,9296,7952,116,104,9552,106.0,12,4,16,12,0,0,4,0,6.4,6.4,7.2,13.6,84,348,96,0.44,0.16,0.6,0.44,0.6,0.24,0.28,0.52,0.24,0.52,332,0,0,0,0,2,0,2,0,4,2,0,0,1,5,0,0,0,0,0,0,0.0,ITA-Serie A,Inter,36-109,CB,3000000.0
John Stones,"DF,MF",ENG,9296,7976,64,48,4256,47.2,4,0,4,4,0,0,8,0,4.0,4.0,0.8,5.2,64,228,96,0.32,0.0,0.32,0.32,0.32,0.36,0.08,0.44,0.36,0.44,332,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0.0,ENG-Premier League,Manchester City,30-001,CB,4500000.0
Myrto Uzuni,FW,ALB,13944,11970,204,168,14688,163.2,66,6,72,42,24,30,18,0,77.4,54.0,15.6,69.6,126,108,540,2.4000000000000004,0.24,2.64,1.56,1.7399999999999998,2.88,0.54,3.42,1.98,2.58,329,0,1,0,0,8,4,0,0,7,8,0,4,1,1,0,0,0,0,0,0,0.0,ESP-La Liga,Granada,28-364,"FW,MF,LW,FW",2500000.0
Enes Ünal,"FW,MF",TUR,9296,7988,38,6,936,10.4,4,6,10,4,0,0,2,0,6.0,6.0,2.8,8.8,12,16,70,1.1,2.38,3.4800000000000004,1.1,3.4800000000000004,1.7200000000000002,1.04,2.74,1.7200000000000002,2.74,328,0,2,0,0,4,0,0,0,2,16,2,0,2,0,0,0,0,0,0,0,0.0,"ENG-Premier League,ESP-La Liga","Getafe,Bournemouth",27-019,FW,2500000.0
Davide Frattesi,MF,ITA,11620,9995,160,30,4775,53.0,30,15,45,30,0,0,5,0,35.5,35.5,9.5,45.0,135,185,200,2.85,1.4,4.25,2.85,4.25,3.35,0.8999999999999999,4.25,3.35,4.25,325,3,0,0,0,5,4,0,0,3,5,0,4,2,2,0,0,0,0,0,0,0.0,ITA-Serie A,Inter,24-220,"CM,MF",4000000.0
Ryan Christie,MF,SCO,18592,15960,296,280,23256,258.4,0,40,40,0,0,0,48,0,18.4,18.4,43.2,61.6,480,1336,624,0.0,1.2,1.2,0.0,1.2,0.56,1.36,1.92,0.56,1.92,321,0,0,0,0,5,0,1,0,12,10,0,11,2,0,0,0,0,0,0,0,0.0,ENG-Premier League,Bournemouth,29-097,"LM,FW,MF,FW",2500000.0
Donyell Malen,"FW,MF",NED,16268,13993,189,147,12467,138.6,91,7,98,91,0,0,35,0,66.5,66.5,21.0,87.5,511,399,1141,4.62,0.35,4.97,4.62,4.97,3.36,1.05,4.41,3.36,4.41,321,0,1,0,0,13,6,0,0,1,6,1,16,1,2,0,0,0,0,0,0,0.0,GER-Bundesliga,Dortmund,25-141,"FW,MF,FW",3500000.0
Jude Bellingham,MF,ENG,9296,8012,112,108,9260,102.8,76,24,100,72,4,4,20,4,44.4,41.2,21.2,62.4,340,784,708,2.96,0.92,3.88,2.8,3.72,1.72,0.84,2.56,1.6,2.44,316,0,1,0,0,4,3,0,0,2,10,0,3,4,7,0,0,0,0,0,0,0.0,ESP-La Liga,Real Madrid,20-335,"CM,AM",8000000.0
Ianis Hagi,"MF,FW",ROU,16268,13986,154,56,5628,62.3,0,14,14,0,0,7,21,0,19.6,14.0,14.0,28.0,119,224,406,0.0,1.54,1.54,0.0,1.54,2.17,1.54,3.71,1.54,3.08,315,2,1,0,0,8,5,2,0,5,6,1,20,3,1,0,0,0,0,0,0,0.0,ESP-La Liga,Alavés,25-220,"RW,FW,MF,FW,AM",3000000.0
Giacomo Raspadori,"FW,MF",ITA,13944,12000,222,84,9504,105.6,30,18,48,30,0,6,0,0,35.400000000000006,27.0,24.0,51.0,174,324,834,1.6800000000000002,1.02,2.7,1.6800000000000002,2.7,1.98,1.38,3.3600000000000003,1.5,2.88,310,1,1,0,0,13,4,0,0,5,3,3,20,1,0,0,0,0,0,0,0,0.0,ITA-Serie A,Napoli,24-101,"FW,MF,FW",5000000.0
Mathias Jensen,MF,DEN,13944,11976,192,162,13224,147.0,18,18,36,18,0,0,30,0,4.199999999999999,4.199999999999999,24.0,28.200000000000003,114,738,396,0.72,0.72,1.5,0.72,1.5,0.18,0.96,1.14,0.18,1.14,303,0,0,0,0,3,0,0,0,0,0,0,29,3,3,0,0,0,0,0,0,0.0,ENG-Premier League,Brentford,28-149,"CM,MF,DM",3000000.0
Alessandro Bastoni,DF,ITA,9296,7996,112,112,9072,100.8,4,12,16,4,0,0,20,0,4.8,4.8,13.6,18.4,252,568,308,0.16,0.48,0.64,0.16,0.64,0.2,0.52,0.72,0.2,0.72,298,0,0,0,0,2,0,0,0,5,8,0,0,2,1,0,0,0,0,0,0,0.0,ITA-Serie A,Inter,25-046,"DF,CB",4000000.0
Cenk Özkacar,DF,TUR,9296,8000,92,72,6392,71.2,0,0,0,0,0,0,12,0,1.2,1.2,0.4,1.2,68,224,20,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.08,0.04,0.08,296,0,1,0,0,3,0,0,0,2,2,1,11,3,3,0,0,0,0,0,0,0.0,ESP-La Liga,Valencia,23-236,LB,2000000.0
Giorgio Scalvini,DF,ITA,9296,8012,128,120,9844,109.2,0,12,12,0,0,0,12,0,5.6,5.6,4.4,10.0,120,444,116,0.0,0.44,0.44,0.0,0.44,0.2,0.16,0.36,0.2,0.36,294,0,0,0,0,4,1,2,0,1,0,0,0,6,5,0,0,0,0,0,0,0.0,ITA-Serie A,Atalanta,20-170,"DF,CB",3000000.0
Leandro Trossard,"FW,MF",BEL,9296,7976,136,72,6596,73.2,48,4,52,48,0,0,8,0,31.6,31.6,11.2,42.8,264,304,620,2.6,0.2,2.84,2.6,2.84,1.72,0.6,2.32,1.72,2.32,293,2,0,0,0,10,3,0,0,4,4,0,11,0,0,0,0,0,0,0,0,0.0,ENG-Premier League,Arsenal,29-177,"CM,FW,AM",4500000.0
Borna Sosa,"FW,DF",CRO,11620,9990,10,0,230,2.5,0,0,0,0,0,0,0,0,0.0,0.0,1.5,1.5,25,10,50,0.0,0.0,0.0,0.0,0.0,0.3,2.85,3.15,0.3,3.15,289,0,1,0,0,2,1,0,0,1,2,0,25,3,1,0,0,0,0,0,0,0.0,GER-Bundesliga,Stuttgart,26-129,"LB,DF,MF",3000000.0
Olivier Giroud,FW,FRA,18592,15888,280,224,18904,210.4,120,64,184,88,32,40,8,8,113.6,81.6,37.6,119.2,72,224,760,4.56,2.4,7.04,3.36,5.76,4.32,1.44,5.76,3.12,4.56,287,3,1,0,0,10,4,0,0,1,3,2,0,2,0,0,0,0,0,0,0,0.0,ITA-Serie A,Milan,37-242,FW,6000000.0
Kieran Trippier,DF,ENG,9296,7960,112,104,8944,99.2,4,40,44,4,0,0,20,0,2.8,2.8,30.0,32.8,136,628,512,0.16,1.6,1.76,0.16,1.76,0.12,1.2,1.32,0.12,1.32,280,0,0,0,0,0,0,0,0,2,2,0,8,4,2,0,0,0,0,0,0,0.0,ENG-Premier League,Newcastle Utd,33-253,"RB,LB,DF,MF",4000000.0
Ruslan Malinovskyi,MF,UKR,16268,13951,196,126,10808,120.4,28,7,35,28,0,0,49,0,7.700000000000001,7.700000000000001,4.2,11.2,168,581,217,1.61,0.42,2.03,1.61,2.03,0.42,0.21,0.7000000000000001,0.42,0.7000000000000001,279,0,0,0,0,4,1,4,0,10,4,0,6,4,4,0,0,0,0,0,0,0.0,ITA-Serie A,Genoa,31-025,"CM,FW,MF,AM",3000000.0
Daley Blind,DF,NED,11620,9950,170,165,14860,165.0,5,10,15,5,0,0,30,0,8.5,8.5,5.5,14.0,240,1045,110,0.15,0.3,0.4499999999999999,0.15,0.4499999999999999,0.25,0.15,0.4499999999999999,0.25,0.4499999999999999,277,0,1,0,0,3,0,1,0,3,1,0,7,4,7,0,0,0,0,0,0,0.0,ESP-La Liga,Girona,34-081,"DM,LM,CB,DF,MF",3000000.0
