name,pos,nation,season,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded,shots_on_target_against,goals_against,saves,save%,league,team,age,pos_y,Price
Bruno Fernandes,"MF,FW",POR,23240,19940,350,350,31180,346.0,100,80,180,60,40,50,90,0,100.0,61.0,118.0,178.0,860,2970,1820,2.9,2.3000000000000003,5.2,1.7000000000000002,4.0,2.9,3.4000000000000004,6.3,1.7000000000000002,5.1,839,6,8,0,0,22,12,1,0,8,9,3,76,8,5,0,0,0,0,0,0,0.0,ENG-Premier League,Manchester Utd,29-264,"CM,DM,AM",7000000.0
Randal Kolo Muani,"FW,MF,FW",FRA,27888,23976,168,90,8526,94.8,42,30,72,42,0,0,6,0,44.4,44.4,19.8,64.2,252,270,804,6.12,2.1,8.22,6.12,8.22,7.2,1.38,8.58,7.2,8.58,832,2,0,0,0,12,4,0,0,20,22,4,8,6,2,0,0,0,0,0,0,0.0,"FRA-Ligue 1,GER-Bundesliga","Eint Frankfurt,Paris S-G",25-176,"FW,MF,FW,AM",4500000.0
Vitaliy Mykolenko,DF,UKR,23240,19990,280,280,24690,274.0,20,0,20,20,0,0,10,0,15.0,15.0,9.0,24.0,140,550,680,0.7000000000000001,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.6,0.3,0.8999999999999999,0.6,0.8999999999999999,825,0,1,0,0,7,0,2,0,10,6,0,16,17,12,0,0,0,0,0,0,0.0,ENG-Premier League,Everton,25-000,"LB,DF",2500000.0
Khvicha Kvaratskhelia,FW,GEO,20916,18009,306,288,24633,273.6,99,54,153,99,0,0,72,0,99.9,99.9,61.2,161.1,1656,801,2394,3.24,1.8,5.040000000000001,3.24,5.040000000000001,3.33,2.0700000000000003,5.31,3.24,5.31,822,4,1,0,1,32,5,3,0,12,21,1,14,5,7,0,0,0,0,0,0,0.0,ITA-Serie A,Napoli,23-107,"DM,LM,FW",4000000.0
Jeremy Doku,"FW,MF,FW",BEL,27888,24024,186,114,10236,113.4,24,48,72,24,0,0,18,0,18.6,18.6,28.8,47.4,1374,372,1884,5.880000000000001,2.7,8.58,5.880000000000001,8.58,3.72,2.52,6.24,3.72,6.24,818,0,8,0,0,22,4,2,0,8,20,0,26,4,0,0,0,0,0,0,0,0.0,"ENG-Premier League,FRA-Ligue 1","Manchester City,Rennes",22-002,"FW,FW,MF,LM",4500000.0
Illia Zabarnyi,DF,UKR,20916,18018,333,333,29970,333.0,9,0,9,9,0,0,45,0,9.9,9.9,3.6,13.5,216,981,9,0.27,0.0,0.27,0.27,0.27,0.27,0.09,0.36,0.27,0.36,810,1,0,0,0,4,2,1,0,6,4,0,0,3,6,0,0,0,0,0,0,0.0,ENG-Premier League,Bournemouth,21-271,CB,3000000.0
Stanislav Lobotka,MF,SVK,20916,17946,342,342,29538,328.5,0,9,9,0,0,0,36,0,5.4,5.4,11.7,17.099999999999998,261,1692,306,0.0,0.27,0.27,0.0,0.27,0.18,0.36,0.45,0.18,0.45,785,1,1,0,0,2,1,0,0,9,9,0,1,7,8,0,0,0,0,0,0,0.0,ITA-Serie A,Napoli,29-186,CM,2500000.0
Remo Freuler,MF,SUI,23240,19920,320,300,26240,292.0,10,10,20,10,0,0,90,0,12.0,12.0,11.0,23.0,370,1650,480,0.3,0.3,0.7000000000000001,0.3,0.7000000000000001,0.4,0.4,0.8,0.4,0.8,760,2,2,0,0,12,3,1,0,10,4,3,7,12,5,0,0,0,0,0,0,0.0,ITA-Serie A,Bologna,32-044,"CM,MF,DM",3500000.0
Robert Lewandowski,FW,POL,18592,15904,280,256,22000,244.8,152,64,216,120,32,32,40,0,144.8,120.0,39.2,159.2,344,512,1344,4.96,2.08,7.04,3.92,6.0,4.72,1.28,6.0,3.92,5.2,750,3,2,1,1,34,11,0,0,6,12,4,3,5,0,0,0,0,0,0,0,0.0,ESP-La Liga,Barcelona,35-282,FW,6000000.0
Harry Maguire,DF,ENG,18592,15944,176,144,13224,147.2,16,16,32,16,0,0,32,0,16.0,16.0,9.6,26.4,160,584,16,0.88,0.88,1.76,0.88,1.76,0.88,0.56,1.44,0.88,1.44,720,0,0,0,0,12,2,2,0,9,5,1,0,3,5,0,0,0,0,0,0,0.0,ENG-Premier League,Manchester Utd,31-085,CB,4500000.0
Nicolas Seiwald,MF,AUT,18592,16008,168,48,5744,64.0,0,16,16,0,0,0,8,0,0.0,0.0,2.4,2.4,24,264,32,0.0,2.0,2.0,0.0,2.0,0.0,0.32,0.32,0.0,0.32,720,0,0,0,0,3,2,1,0,4,4,0,11,11,5,0,0,0,0,0,0,0.0,GER-Bundesliga,RB Leipzig,23-025,"CM,RB",3000000.0
Bart Verbruggen,GK,NED,18592,16016,168,168,15120,168.0,0,0,0,0,0,0,24,0,0.0,0.0,0.0,0.0,0,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,8,0.33875,ENG-Premier League,Brighton,21-285,GK,4500000.0
Dominik Szoboszlai,MF,HUN,18592,16000,264,200,16832,187.2,24,16,40,24,0,0,8,0,29.6,29.6,46.4,76.0,600,1216,1280,1.04,0.72,1.68,1.04,1.68,1.28,2.0,3.2,1.28,3.2,720,4,3,1,1,28,13,3,0,6,25,0,61,6,3,0,0,0,0,0,0,0.0,ENG-Premier League,Liverpool,23-217,AM,4500000.0
Mykhailo Mudryk,FW,UKR,20916,18009,279,162,14184,157.5,45,18,63,45,0,0,45,0,39.6,39.6,36.9,76.5,828,405,1251,2.61,0.99,3.6,2.61,3.6,2.25,2.0700000000000003,4.32,2.25,4.32,718,2,2,0,0,21,9,0,0,18,10,0,35,5,2,0,0,0,0,0,0,0.0,ENG-Premier League,Chelsea,23-145,"LW,FW,LM,FW,MF,AM",4000000.0
Georges Mikautadze,FW,GEO,23240,20000,200,200,17470,194.0,130,40,170,100,30,30,0,10,95.0,72.0,24.0,95.0,520,510,950,6.7,2.1,8.8,5.2,7.199999999999999,4.9,1.2,6.1,3.7,4.9,705,3,0,1,1,20,5,0,0,1,6,0,6,0,2,0,0,0,0,0,0,0.0,FRA-Ligue 1,Metz,23-211,FW,3000000.0
