name,pos,nation,season,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded,shots_on_target_against,goals_against,saves,save%,league,team,age,pos_y
Karol Świderski,"FW,MF",POL,23240,19970,150,30,5040,56.0,20,0,20,20,0,0,0,0,17.0,17.0,4.0,22.0,30,130,190,3.5999999999999996,0.0,3.5999999999999996,3.5999999999999996,3.5999999999999996,3.1,0.8,3.9000000000000004,3.1,3.9000000000000004,528,2,1,0,0,16,6,0,0,2,10,1,9,1,3,0,0,0,0,0,0,0.0,ITA-Serie A,Hellas Verona,27-127,"FW,MF,FW"
Julian Ryerson,DF,NOR,18592,15976,168,160,14136,156.8,32,8,40,32,0,0,24,0,14.4,14.4,21.6,36.0,328,512,944,1.6,0.4,2.0,1.6,2.0,0.72,1.12,1.84,0.72,1.84,526,0,1,0,0,2,0,1,0,2,6,0,19,4,3,0,0,0,0,0,0,0.0,GER-Bundesliga,Dortmund,26-194,"RB,DF,MF"
Birger Meling,DF,NOR,13944,11964,6,0,96,1.2000000000000002,0,0,0,0,0,0,0,0,1.2000000000000002,1.2000000000000002,0.0,1.2000000000000002,0,0,0,0.0,0.0,0.0,0.0,0.0,4.800000000000001,0.0,4.800000000000001,4.800000000000001,4.800000000000001,523,0,0,0,0,3,0,1,0,3,5,0,15,3,2,0,0,0,0,0,0,0.0,FRA-Ligue 1,Rennes,29-164,LB
Youri Tielemans,"MF,FW",BEL,18592,15976,256,136,12976,144.0,16,48,64,16,0,0,24,0,10.4,10.4,20.8,31.2,184,1024,368,0.88,2.64,3.52,0.88,3.52,0.56,1.12,1.68,0.56,1.68,522,2,0,0,0,6,0,0,0,4,6,0,6,4,5,0,0,0,0,0,0,0.0,ENG-Premier League,Aston Villa,27-022,"CM,MF"
Zeki Çelik,DF,TUR,20916,17973,153,54,6039,67.5,0,0,0,0,0,0,9,0,1.8,1.8,5.3999999999999995,7.2,126,234,342,0.0,0.0,0.0,0.0,0.0,0.18,0.72,0.99,0.18,0.99,522,0,0,0,0,1,0,3,0,5,2,1,19,9,4,0,0,0,0,0,0,0.0,ITA-Serie A,Roma,27-102,"DF,MF,RB"
Vladimír Coufal,DF,CZE,13944,11952,216,216,18792,208.79999999999998,0,42,42,0,0,0,42,6,1.7999999999999998,1.7999999999999998,24.0,25.799999999999997,408,714,756,0.0,1.2000000000000002,1.2000000000000002,0.0,1.2000000000000002,0.06,0.66,0.72,0.06,0.72,520,0,1,0,0,0,0,2,0,2,8,1,39,6,6,0,0,0,0,0,0,0.0,ENG-Premier League,West Ham,31-281,"DM,RM,RB"
Grant Ranos,"MF,FW",ARM,20916,18027,81,0,441,4.5,0,0,0,0,0,0,0,0,2.6999999999999997,2.6999999999999997,0.0,2.6999999999999997,0,27,36,0.0,0.0,0.0,0.0,0.0,4.05,0.0,4.05,4.05,4.05,517,2,0,0,0,10,4,1,0,4,2,1,1,3,0,0,0,0,0,0,0,0.0,GER-Bundesliga,Gladbach,20-314,FW
Patrick Wimmer,"FW,MF",AUT,23240,20010,140,80,5890,65.0,20,0,20,20,0,0,30,10,14.0,14.0,1.0,15.0,80,150,440,3.1,0.0,3.1,3.1,3.1,2.2,0.2,2.4,2.2,2.4,517,1,1,0,0,8,4,1,0,10,14,2,18,5,3,0,0,0,0,0,0,0.0,GER-Bundesliga,Wolfsburg,22-365,"RM,LM,FW,MF,DM,AM"
Andrej Kramarić,"MF,FW",CRO,16268,13937,210,175,15393,170.79999999999998,105,42,147,70,35,35,28,0,77.7,49.699999999999996,51.1,101.5,497,833,1225,4.27,1.75,6.02,2.8699999999999997,4.55,3.15,2.1,5.25,2.03,4.13,517,4,0,0,0,19,12,0,0,2,6,0,13,3,1,0,0,0,0,0,0,0.0,GER-Bundesliga,Hoffenheim,32-345,"FW,AM"
Salih Özcan,MF,TUR,18592,15984,184,104,9472,105.6,0,0,0,0,0,0,24,0,1.6,1.6,8.0,9.6,128,456,192,0.0,0.0,0.0,0.0,0.0,0.08,0.64,0.72,0.08,0.72,515,0,1,0,0,2,1,2,0,6,6,0,3,5,6,0,0,0,0,0,0,0.0,GER-Bundesliga,Dortmund,26-139,"MF,CM,DM,AM"
Aaron Hickey,DF,SCO,13944,12012,54,54,4278,47.400000000000006,0,0,0,0,0,0,30,0,1.2000000000000002,1.2000000000000002,0.6000000000000001,1.7999999999999998,54,126,78,0.0,0.0,0.0,0.0,0.0,0.18,0.06,0.24,0.18,0.24,513,0,0,0,0,2,1,1,0,6,9,1,3,3,5,0,0,0,0,0,0,0.0,ENG-Premier League,Brentford,21-354,"RB,RM,DM"
Leart Paqarada,DF,KVX,16268,13958,119,77,7525,83.3,0,0,0,0,0,0,0,0,2.8000000000000003,2.8000000000000003,11.9,14.700000000000001,182,315,203,0.0,0.0,0.0,0.0,0.0,0.21,0.9800000000000001,1.1900000000000002,0.21,1.1900000000000002,512,0,0,0,0,2,0,0,0,2,7,0,24,5,5,0,0,0,0,0,0,0.0,GER-Bundesliga,Köln,29-234,LB
Chiedozie Ogbene,"MF,DF",IRL,13944,11982,180,120,11970,133.2,24,6,30,24,0,0,6,0,25.200000000000003,25.200000000000003,18.6,44.400000000000006,762,318,900,1.08,0.30000000000000004,1.3800000000000001,1.08,1.3800000000000001,1.1400000000000001,0.8400000000000001,1.98,1.1400000000000001,1.98,499,0,0,0,0,9,1,1,0,5,13,2,19,3,1,0,0,0,0,0,0,0.0,ENG-Premier League,Luton Town,27-028,"DM,RM,FW,AM"
Kevin Danso,DF,AUT,13944,11988,180,180,15930,177.0,6,0,6,6,0,0,36,0,10.8,10.8,2.4000000000000004,13.200000000000001,162,798,18,0.18,0.0,0.18,0.18,0.18,0.36,0.06,0.42000000000000004,0.36,0.42000000000000004,494,0,0,0,0,4,1,0,0,4,7,0,1,3,3,0,0,0,0,0,0,0.0,FRA-Ligue 1,Lens,25-253,CB
Jesper Lindstrøm,"FW,MF,FW",DEN,32536,28000,161,21,3591,39.9,0,0,0,0,0,0,14,0,6.3,6.3,7.0,13.3,126,119,301,0.0,0.0,0.0,0.0,0.0,2.3800000000000003,1.54,3.92,2.3800000000000003,3.92,490,0,0,0,0,8,2,0,0,4,2,2,4,6,2,0,0,0,0,0,0,0.0,"ITA-Serie A,GER-Bundesliga","Eint Frankfurt,Napoli",24-090,"FW,MF,FW,AM"
Bukayo Saka,FW,ENG,16268,14007,245,245,20433,226.79999999999998,112,63,175,70,42,42,28,0,108.5,75.60000000000001,73.5,148.4,1085,882,3556,3.4299999999999997,1.9600000000000002,5.390000000000001,2.17,4.13,3.36,2.24,5.6000000000000005,2.31,4.55,490,4,2,0,0,18,8,0,0,4,12,1,10,2,3,0,0,0,0,0,0,0.0,ENG-Premier League,Arsenal,22-267,"FW,MF,FW,AM"
Jens Cajuste,MF,SWE,13944,11994,156,66,6096,67.80000000000001,0,12,12,0,0,0,42,0,9.0,9.0,6.6000000000000005,15.0,114,222,318,0.0,1.08,1.08,0.0,1.08,0.78,0.54,1.32,0.78,1.32,486,0,0,0,0,5,1,1,0,5,5,0,1,1,5,0,0,0,0,0,0,0.0,ITA-Serie A,Napoli,24-293,"CM,DM"
Jonny Evans,DF,NIR,13944,11928,138,90,8352,93.0,0,6,6,0,0,0,12,0,0.6000000000000001,0.6000000000000001,7.199999999999999,7.199999999999999,42,222,6,0.0,0.36,0.36,0.0,0.36,0.0,0.48,0.48,0.0,0.48,485,1,0,0,0,1,1,2,0,6,4,1,0,2,3,1,0,0,0,0,0,0.0,ENG-Premier League,Manchester Utd,36-147,CB
Rafael Leão,FW,POR,20916,17991,306,261,22608,251.1,81,81,162,81,0,0,45,0,90.0,90.0,81.89999999999999,171.9,1440,1053,2637,2.88,2.88,5.76,2.88,5.76,3.2399999999999998,2.88,6.12,3.2399999999999998,6.12,485,2,2,0,1,6,3,0,0,6,7,0,31,2,2,0,0,0,0,0,0,0.0,ITA-Serie A,Milan,24-354,"FW,MF,FW,AM"
Gavi,"MF,FW",ESP,18592,16032,96,80,7552,84.0,8,8,16,8,0,0,40,0,7.2,7.2,8.8,16.0,208,312,304,0.8,0.8,1.52,0.8,1.52,0.72,0.8,1.52,0.72,1.52,484,2,0,0,0,4,3,1,0,8,5,1,5,3,6,0,0,0,0,0,0,0.0,ESP-La Liga,Barcelona,19-298,"CM,FW,MF,FW"
Jules Koundé,DF,FRA,16268,13986,245,224,20293,225.40000000000003,7,14,21,7,0,0,28,0,14.0,14.0,15.400000000000002,29.400000000000002,469,1715,448,0.21,0.42,0.63,0.21,0.63,0.42,0.49000000000000005,0.91,0.42,0.91,480,0,0,0,0,1,1,0,0,1,2,1,9,1,3,0,0,0,0,0,0,0.0,ESP-La Liga,Barcelona,25-199,"DF,RB"
Alessandro Bastoni,DF,ITA,13944,11994,168,168,13608,151.2,6,18,24,6,0,0,30,0,7.199999999999999,7.199999999999999,20.4,27.599999999999998,378,852,462,0.24,0.72,0.96,0.24,0.96,0.30000000000000004,0.78,1.08,0.30000000000000004,1.08,478,0,0,0,0,2,0,0,0,5,8,0,0,2,1,0,0,0,0,0,0,0.0,ITA-Serie A,Inter,25-046,"DF,CB"
Jude Bellingham,MF,ENG,13944,12018,168,162,13890,154.2,114,36,150,108,6,6,30,6,66.6,61.800000000000004,31.799999999999997,93.6,510,1176,1062,4.4399999999999995,1.3800000000000001,5.82,4.199999999999999,5.58,2.58,1.26,3.84,2.4000000000000004,3.66,472,1,1,0,0,4,3,1,0,2,10,0,3,4,7,0,0,0,0,0,0,0.0,ESP-La Liga,Real Madrid,20-335,"CM,AM"
Amadou Onana,MF,BEL,13944,12006,180,138,12546,139.2,12,0,12,12,0,0,30,0,12.0,12.0,16.200000000000003,28.200000000000003,126,642,234,0.54,0.0,0.54,0.54,0.54,0.54,0.66,1.2000000000000002,0.54,1.2000000000000002,464,0,1,0,0,4,1,2,1,7,8,0,0,6,3,0,0,0,0,0,0,0.0,ENG-Premier League,Everton,22-287,"CM,MF,DM"
Kristoffer Ajer,DF,NOR,13944,11988,168,126,10992,122.39999999999999,12,6,18,12,0,0,30,0,7.800000000000001,7.800000000000001,13.799999999999999,21.6,132,366,186,0.6000000000000001,0.30000000000000004,0.8999999999999999,0.6000000000000001,0.8999999999999999,0.36,0.66,1.08,0.36,1.08,464,0,0,0,0,1,0,1,0,3,1,0,2,5,3,0,0,0,0,0,0,0.0,ENG-Premier League,Brentford,26-042,"CB,DF,MF,RB"
Marcel Sabitzer,MF,AUT,18592,15952,200,184,15688,174.4,32,24,56,24,8,8,24,8,28.8,22.4,14.4,36.8,312,888,552,1.44,1.12,2.56,1.12,2.24,1.28,0.64,2.0,1.04,1.68,461,4,2,2,2,17,8,1,0,2,2,1,12,3,5,0,0,0,0,0,0,0.0,GER-Bundesliga,Dortmund,30-073,"CM,FW,LM,FW,MF,AM"
Mikel Merino,MF,ESP,16268,13972,224,189,17374,193.20000000000002,35,21,56,35,0,0,70,0,23.099999999999998,23.099999999999998,13.299999999999999,36.4,182,1141,693,1.26,0.77,2.03,1.26,2.03,0.84,0.49000000000000005,1.33,0.84,1.33,460,1,1,0,0,13,4,1,0,7,7,0,5,5,2,0,0,0,0,0,0,0.0,ESP-La Liga,Real Sociedad,27-342,"CM,MF,DM"
Nicola Zalewski,"DF,FW",POL,13944,12012,132,60,5808,64.80000000000001,0,6,6,0,0,0,18,6,4.800000000000001,4.800000000000001,9.600000000000001,15.0,324,198,372,0.0,0.54,0.54,0.0,0.54,0.48,0.8999999999999999,1.3800000000000001,0.48,1.3800000000000001,457,0,1,0,0,9,3,1,0,7,10,2,24,1,5,0,0,0,0,0,0,0.0,ITA-Serie A,Roma,22-127,"LB,LM,RM,DF,MF"
Loïc Nego,"DF,MF",HUN,20916,17919,252,162,14049,155.70000000000002,0,27,27,0,0,0,27,0,11.700000000000001,11.700000000000001,9.0,20.7,270,576,918,0.0,1.53,1.53,0.0,1.53,0.72,0.54,1.17,0.72,1.17,456,0,2,0,0,7,2,0,0,1,1,2,10,3,5,0,0,0,0,0,0,0.0,FRA-Ligue 1,Le Havre,33-135,"DM,RM,DF,MF"
Josip Stanišić,DF,CRO,13944,12000,120,78,7566,84.0,18,6,24,18,0,0,18,0,4.800000000000001,4.800000000000001,10.2,14.399999999999999,294,552,378,1.26,0.42000000000000004,1.7399999999999998,1.26,1.7399999999999998,0.30000000000000004,0.72,1.02,0.30000000000000004,1.02,454,0,0,0,0,2,0,1,0,3,3,2,14,6,3,0,0,0,0,0,0,0.0,GER-Bundesliga,Leverkusen,24-057,"DF,RB"
Teddy Teuma,MF,MLT,13944,11958,168,150,12678,141.0,36,18,54,30,6,6,42,0,18.6,13.799999999999999,22.200000000000003,36.0,174,942,672,1.56,0.78,2.2800000000000002,1.26,2.04,0.78,0.96,1.7399999999999998,0.6000000000000001,1.56,454,0,0,0,0,5,0,2,0,7,6,0,12,7,8,0,0,0,0,0,0,0.0,FRA-Ligue 1,Reims,30-242,"CM,MF,AM"
Miloš Veljković,DF,SRB,11620,9975,115,105,9600,106.5,10,5,15,10,0,0,10,0,8.5,8.5,4.0,12.5,80,445,65,0.44999999999999996,0.25,0.7000000000000001,0.44999999999999996,0.7000000000000001,0.4,0.2,0.6,0.4,0.6,450,1,0,0,0,3,2,0,0,3,5,0,5,2,1,0,0,0,0,0,0,0.0,GER-Bundesliga,Werder Bremen,28-246,CB
Willi Orban,DF,HUN,11620,9960,95,90,7910,88.0,0,0,0,0,0,0,10,0,2.0,2.0,2.0,4.0,35,485,50,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.2,450,1,1,0,0,4,2,1,0,4,0,0,2,2,1,0,0,0,0,0,0,0.0,GER-Bundesliga,RB Leipzig,31-208,CB
Marc Guéhi,DF,ENG,13944,12000,150,138,12126,135.0,0,6,6,0,0,0,12,0,3.5999999999999996,3.5999999999999996,3.5999999999999996,7.199999999999999,90,402,42,0.0,0.24,0.24,0.0,0.24,0.18,0.18,0.30000000000000004,0.18,0.30000000000000004,449,0,0,0,0,0,0,1,0,2,3,0,0,3,5,0,0,0,0,0,0,0.0,ENG-Premier League,Crystal Palace,23-321,"DF,CB"
Enes Ünal,"FW,MF",TUR,13944,11982,57,9,1404,15.600000000000001,6,9,15,6,0,0,3,0,9.0,9.0,4.2,13.2,18,24,105,1.6500000000000001,3.5700000000000003,5.220000000000001,1.6500000000000001,5.220000000000001,2.58,1.56,4.11,2.58,4.11,448,0,2,0,0,4,0,0,0,2,16,2,0,2,0,0,0,0,0,0,0,0.0,"ENG-Premier League,ESP-La Liga","Getafe,Bournemouth",27-019,FW
Bryan Cristante,"MF,DF",ITA,18592,15960,296,296,26312,292.0,24,32,56,24,0,0,64,0,32.0,32.0,23.2,55.2,376,1872,640,0.64,0.88,1.52,0.64,1.52,0.88,0.64,1.52,0.88,1.52,445,0,0,0,0,4,2,0,0,5,0,0,0,7,6,0,0,0,0,0,0,0.0,ITA-Serie A,Roma,29-087,"CM,DF,MF"
Trent Alexander-Arnold,DF,ENG,11620,9990,140,125,10775,119.5,15,20,35,15,0,0,30,0,13.0,11.5,36.0,47.5,225,1025,485,0.65,0.8500000000000001,1.45,0.65,1.45,0.55,1.5,2.05,0.5,2.0,443,2,1,0,0,8,4,1,0,4,3,0,11,3,3,0,0,0,0,0,0,0.0,ENG-Premier League,Liverpool,25-235,"CM,DM"
Filip Kostić,DF,SRB,16268,13944,203,182,12705,141.4,0,28,28,0,0,0,14,0,4.8999999999999995,4.8999999999999995,37.800000000000004,42.699999999999996,448,616,665,0.0,1.4000000000000001,1.4000000000000001,0.0,1.4000000000000001,0.21,1.8900000000000001,2.1,0.21,2.1,441,0,1,0,0,6,1,0,0,4,0,1,52,9,3,0,0,0,0,0,0,0.0,ITA-Serie A,Juventus,31-210,"DF,FW,LM,DM"
Fabian Schär,DF,SUI,13944,11946,216,210,18324,203.39999999999998,24,6,30,24,0,0,30,0,15.0,15.0,4.199999999999999,19.799999999999997,168,798,120,0.72,0.18,0.8999999999999999,0.72,0.8999999999999999,0.42000000000000004,0.12,0.6000000000000001,0.42000000000000004,0.6000000000000001,440,0,0,0,0,3,0,0,0,1,2,0,1,0,3,0,0,0,0,0,0,0.0,ENG-Premier League,Newcastle Utd,32-161,"DF,CB"
Edon Zhegrova,FW,KVX,18592,15992,264,200,18304,203.2,48,48,96,48,0,0,24,8,49.6,49.6,49.6,99.2,880,720,2576,1.92,1.92,3.76,1.92,3.76,1.92,1.92,3.92,1.92,3.92,439,1,1,0,0,7,4,1,0,5,3,0,17,2,1,0,0,0,0,0,0,0.0,FRA-Ligue 1,Lille,25-059,"FW,MF,RM,FW,AM"
Davide Frattesi,MF,ITA,18592,15992,256,48,7640,84.8,48,24,72,48,0,0,8,0,56.8,56.8,15.2,72.0,216,296,320,4.56,2.24,6.8,4.56,6.8,5.36,1.44,6.8,5.36,6.8,436,3,0,0,0,5,4,0,0,3,5,0,4,2,2,0,0,0,0,0,0,0.0,ITA-Serie A,Inter,24-220,"CM,MF,FW"
Saša Lukić,MF,SRB,18592,15968,192,104,8976,100.0,8,0,8,8,0,0,24,0,12.8,12.8,6.4,19.2,96,344,216,0.64,0.0,0.64,0.64,0.64,1.04,0.48,1.52,1.04,1.52,435,0,2,0,0,2,2,1,0,10,5,0,4,4,1,0,0,0,0,0,0,0.0,ENG-Premier League,Fulham,27-290,"MF,CM,DM,AM"
Anel Ahmedhodžić,DF,BIH,11620,9995,155,145,13245,147.0,10,0,10,10,0,0,55,5,15.5,15.5,4.0,20.0,75,215,105,0.35000000000000003,0.0,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.55,0.15,0.7000000000000001,0.55,0.7000000000000001,432,0,0,0,0,2,1,1,0,3,2,0,0,4,5,0,0,0,0,0,0,0.0,ENG-Premier League,Sheffield Utd,25-064,CB
John Egan,DF,IRL,11620,9960,30,30,2410,27.0,0,0,0,0,0,0,10,0,1.0,1.0,0.0,1.0,0,25,5,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15,432,0,0,0,0,4,1,2,0,6,2,0,0,1,5,0,0,0,0,0,0,0.0,ENG-Premier League,Sheffield Utd,31-222,CB
John Stones,"DF,MF",ENG,13944,11964,96,72,6384,70.80000000000001,6,0,6,6,0,0,12,0,6.0,6.0,1.2000000000000002,7.800000000000001,96,342,144,0.48,0.0,0.48,0.48,0.48,0.54,0.12,0.66,0.54,0.66,431,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0.0,ENG-Premier League,Manchester City,30-001,CB
Conor Bradley,DF,NIR,11620,10015,55,50,3765,42.0,5,15,20,5,0,0,10,0,4.5,4.5,7.5,11.5,175,145,320,0.6,1.7999999999999998,2.4,0.6,2.4,0.5,0.8500000000000001,1.4000000000000001,0.5,1.4000000000000001,428,1,0,0,0,4,1,0,0,4,5,1,5,9,2,0,0,0,0,0,0,0.0,ENG-Premier League,Liverpool,20-325,"RM,RB"
Billy Gilmour,MF,SCO,18592,16008,240,192,16960,188.8,0,8,8,0,0,0,64,8,8.0,8.0,16.0,24.0,312,1544,264,0.0,0.32,0.32,0.0,0.32,0.32,0.72,1.04,0.32,1.04,422,0,0,0,0,3,0,1,0,3,3,0,5,5,3,0,0,0,0,0,0,0.0,ENG-Premier League,Brighton,22-353,"MF,CM,DM"
Ivan Perišić,FW,CRO,11620,9945,25,0,515,5.5,0,5,5,0,0,0,10,0,0.5,0.5,4.5,5.0,75,45,85,0.0,4.35,4.35,0.0,4.35,0.5,3.75,4.25,0.5,4.25,418,0,2,0,0,15,6,0,0,5,0,2,24,4,2,0,0,0,0,0,0,0.0,ENG-Premier League,Tottenham,35-117,"FW,AM"
Giacomo Raspadori,"FW,MF",ITA,20916,18000,333,126,14256,158.4,45,27,72,45,0,9,0,0,53.1,40.5,36.0,76.5,261,486,1251,2.5200000000000005,1.53,4.05,2.5200000000000005,4.05,2.97,2.0700000000000003,5.040000000000001,2.25,4.32,412,1,1,0,0,13,4,0,0,5,3,3,20,1,0,0,0,0,0,0,0,0.0,ITA-Serie A,Napoli,24-101,"FW,MF,FW"
Donyell Malen,"FW,MF",NED,20916,17991,243,189,16029,178.20000000000002,117,9,126,117,0,0,45,0,85.5,85.5,27.0,112.5,657,513,1467,5.94,0.45,6.39,5.94,6.39,4.32,1.3499999999999999,5.67,4.32,5.67,409,1,1,0,0,13,6,0,0,1,6,1,16,1,2,0,0,0,0,0,0,0.0,GER-Bundesliga,Dortmund,25-141,"FW,MF,FW"
Dan Ndoye,"FW,MF",SUI,20916,18000,288,180,15939,177.29999999999998,9,9,18,9,0,0,36,0,44.1,44.1,16.2,59.4,792,324,1557,0.45,0.45,0.9,0.45,0.9,2.25,0.8099999999999999,3.06,2.25,3.06,406,0,1,0,0,4,0,1,0,1,7,0,10,2,1,0,0,0,0,0,0,0.0,ITA-Serie A,Bologna,23-217,"DM,CM,FW,MF,LM"
David Alaba,DF,AUT,11620,9960,70,70,5770,64.0,0,5,5,0,0,0,10,0,5.0,5.0,3.5,8.0,45,255,65,0.0,0.4,0.4,0.0,0.4,0.4,0.25,0.65,0.4,0.65,405,0,1,0,0,0,0,0,0,1,1,0,17,2,5,0,0,0,0,0,0,0.0,ESP-La Liga,Real Madrid,31-340,"CB,DF,MF"
Nathan Patterson,DF,SCO,18592,16008,160,72,8040,89.6,0,16,16,0,0,0,32,0,2.4,2.4,13.6,16.0,136,304,312,0.0,1.44,1.44,0.0,1.44,0.24,1.2,1.44,0.24,1.44,405,0,0,0,0,0,0,2,0,2,5,0,12,3,3,0,0,0,0,0,0,0.0,ENG-Premier League,Everton,22-226,"DM,DF,RM,RB"
Olivier Giroud,FW,FRA,23240,19860,350,280,23630,263.0,150,80,230,110,40,50,10,10,142.0,102.0,47.0,149.0,90,280,950,5.699999999999999,3.0,8.8,4.2,7.199999999999999,5.4,1.7999999999999998,7.199999999999999,3.9000000000000004,5.699999999999999,399,4,1,0,0,10,4,0,0,1,3,2,0,2,0,0,0,0,0,0,0,0.0,ITA-Serie A,Milan,37-242,FW
Cenk Özkacar,DF,TUR,13944,12000,138,108,9588,106.80000000000001,0,0,0,0,0,0,18,0,1.7999999999999998,1.7999999999999998,0.6000000000000001,1.7999999999999998,102,336,30,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.12,0.06,0.12,398,0,1,0,0,3,0,0,0,2,2,1,11,3,3,0,0,0,0,0,0,0.0,ESP-La Liga,Valencia,23-236,"LB,DF"
Christian Nørgaard,MF,DEN,13944,11964,186,180,15030,166.8,12,6,18,12,0,0,48,0,21.0,21.0,11.399999999999999,32.400000000000006,90,966,252,0.42000000000000004,0.24,0.66,0.42000000000000004,0.66,0.72,0.42000000000000004,1.1400000000000001,0.72,1.1400000000000001,397,0,0,0,0,5,2,3,0,7,3,0,6,8,9,0,0,0,0,0,0,0.0,ENG-Premier League,Brentford,30-080,"CM,MF,DM"
Ianis Hagi,"MF,FW",ROU,23240,19980,220,80,8040,89.0,0,20,20,0,0,10,30,0,28.0,20.0,20.0,40.0,170,320,580,0.0,2.2,2.2,0.0,2.2,3.1,2.2,5.300000000000001,2.2,4.4,397,3,1,0,0,8,5,2,0,5,6,1,20,3,1,0,0,0,0,0,0,0.0,ESP-La Liga,Alavés,25-220,"RW,FW,MF,FW,AM"
Leandro Trossard,"FW,MF",BEL,13944,11964,204,108,9894,109.80000000000001,72,6,78,72,0,0,12,0,47.400000000000006,47.400000000000006,16.799999999999997,64.19999999999999,396,456,930,3.9000000000000004,0.30000000000000004,4.26,3.9000000000000004,4.26,2.58,0.8999999999999999,3.4799999999999995,2.58,3.4799999999999995,397,2,0,0,0,10,3,0,0,4,4,0,11,0,0,0,0,0,0,0,0,0.0,ENG-Premier League,Arsenal,29-177,"CM,FW,AM"
Kalvin Phillips,MF,ENG,18592,15960,48,12,1608,17.6,0,0,0,0,0,0,12,4,0.8,0.8,0.0,0.8,40,104,28,0.0,0.0,0.0,0.0,0.0,0.36000000000000004,0.0,0.36000000000000004,0.36000000000000004,0.36000000000000004,396,2,0,0,0,8,4,4,0,8,4,0,0,2,6,0,0,0,0,0,0,0.0,ENG-Premier League,"West Ham,Manchester City",28-179,"DM,CM,DF,MF"
George Baldock,DF,GRE,11620,9965,65,55,4845,54.0,0,5,5,0,0,0,20,0,0.0,0.0,4.0,4.0,45,155,120,0.0,0.44999999999999996,0.44999999999999996,0.0,0.44999999999999996,0.0,0.35000000000000003,0.4,0.0,0.4,395,0,1,0,0,0,0,1,0,5,2,1,11,4,4,0,0,0,0,0,0,0.0,ENG-Premier League,Sheffield Utd,31-081,RB
Sandi Lovrić,MF,SVN,20916,17982,261,189,17883,198.9,9,27,36,9,0,0,9,9,31.5,31.5,29.7,61.199999999999996,468,720,720,0.45,1.2600000000000002,1.6199999999999999,0.45,1.6199999999999999,1.44,1.3499999999999999,2.79,1.44,2.79,386,1,0,0,0,11,2,0,0,5,8,0,10,3,2,0,0,0,0,0,0,0.0,ITA-Serie A,Udinese,26-062,"CM,LW,MF,RM,RW"
Kingsley Coman,FW,FRA,16268,13972,119,105,7791,86.8,21,21,42,21,0,0,7,0,19.599999999999998,19.599999999999998,26.599999999999998,46.199999999999996,525,504,1470,1.68,1.68,3.4299999999999997,1.68,3.4299999999999997,1.54,2.17,3.71,1.54,3.71,386,2,2,0,0,14,5,0,0,1,5,0,35,3,1,0,0,0,0,0,0,0.0,GER-Bundesliga,Bayern Munich,27-351,"FW,MF,FW,AM"
Giorgio Scalvini,DF,ITA,11620,10015,160,150,12305,136.5,0,15,15,0,0,0,15,0,7.0,7.0,5.5,12.5,150,555,145,0.0,0.55,0.55,0.0,0.55,0.25,0.2,0.44999999999999996,0.25,0.44999999999999996,384,0,0,0,0,4,1,2,0,1,0,0,0,6,5,0,0,0,0,0,0,0.0,ITA-Serie A,Atalanta,20-170,"DF,CB"
Gonçalo Ramos,FW,POR,16268,14007,203,112,9933,110.60000000000001,77,7,84,70,7,7,7,0,76.3,71.39999999999999,16.8,87.5,77,203,616,4.8999999999999995,0.42,5.32,4.41,4.8999999999999995,4.83,1.05,5.88,4.48,5.53,383,4,0,0,0,12,4,0,0,4,3,1,1,0,0,0,0,0,0,0,0,0.0,FRA-Ligue 1,Paris S-G,22-344,FW
Josip Juranović,DF,CRO,13944,11970,126,84,7764,86.4,0,12,12,0,0,6,24,0,8.399999999999999,3.5999999999999996,13.799999999999999,17.4,132,312,276,0.0,0.8400000000000001,0.8400000000000001,0.0,0.8400000000000001,0.6000000000000001,0.96,1.56,0.24,1.2000000000000002,382,0,0,0,0,3,1,1,0,3,1,1,11,2,0,0,0,0,0,0,0,0.0,GER-Bundesliga,Union Berlin,28-287,"DF,MF,RB"
Borna Sosa,"FW,DF",CRO,13944,11988,12,0,276,3.0,0,0,0,0,0,0,0,0,0.0,0.0,1.7999999999999998,1.7999999999999998,30,12,60,0.0,0.0,0.0,0.0,0.0,0.36,3.42,3.7800000000000002,0.36,3.7800000000000002,379,0,1,0,0,2,1,0,0,1,2,0,25,3,1,0,0,0,0,0,0,0.0,GER-Bundesliga,Stuttgart,26-129,"LB,DF,MF"
