name,pos,nation,season,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded,shots_on_target_against,goals_against,saves,save%,league,team,age,pos_y
Kyle Walker,DF,ENG,18592,15920,256,240,22136,245.6,0,32,32,0,0,0,16,0,3.2,3.2,20.8,24.0,592,1256,1376,0.0,1.04,1.04,0.0,1.04,0.08,0.72,0.8,0.08,0.8,604,1,1,0,0,1,1,1,0,3,1,0,10,3,6,0,0,0,0,0,0,0.0,ENG-Premier League,Manchester City,34-001,"DF,MF,RB"
Danilo Pereira,DF,POR,18592,15928,208,176,15960,177.6,0,0,0,0,0,0,16,0,11.2,11.2,0.0,11.2,224,1184,16,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.48,0.48,0.48,601,0,0,0,0,3,0,1,0,5,9,1,1,1,13,0,0,0,0,0,0,0.0,FRA-Ligue 1,Paris S-G,32-263,"DF,FW,CB,DM"
Viktor Tsyhankov,"MF,FW",UKR,18592,15976,240,208,16416,182.4,64,56,120,64,0,0,0,0,49.6,49.6,47.2,96.8,520,712,1808,2.8,2.48,5.28,2.8,5.28,2.16,2.08,4.24,2.16,4.24,601,3,1,1,1,9,5,0,0,8,7,1,25,4,1,0,0,0,0,0,0,0.0,ESP-La Liga,Girona,26-196,"FW,RM,RW,FW,MF,AM"
Matt Doherty,"DF,MF",IRL,20916,17928,270,81,10350,115.2,9,0,9,9,0,0,18,0,7.2,7.2,11.700000000000001,19.8,108,279,576,0.72,0.0,0.72,0.72,0.72,0.6300000000000001,0.9,1.53,0.6300000000000001,1.53,597,1,1,0,0,6,4,2,1,4,4,0,11,1,5,0,0,0,0,0,0,0.0,ENG-Premier League,Wolves,32-134,"CB,RM,RB,DF,MF,DM"
João Félix,FW,POR,20916,17991,270,162,13860,153.9,63,27,90,63,0,0,27,0,78.3,78.3,27.900000000000002,107.10000000000001,621,612,1521,3.69,1.6199999999999999,5.22,3.69,5.22,4.59,1.6199999999999999,6.209999999999999,4.59,6.209999999999999,597,3,1,0,0,19,10,1,0,3,9,3,4,6,2,0,0,0,0,0,0,0.0,ESP-La Liga,Barcelona,24-201,"DM,FW,MF,FW,AM"
Federico Dimarco,DF,ITA,18592,15976,240,232,16616,184.8,40,48,88,40,0,0,0,0,23.2,21.6,68.0,88.8,408,800,1584,1.76,2.08,3.84,1.76,3.84,1.04,2.96,3.92,0.96,3.84,595,0,1,0,0,8,1,1,0,2,2,1,32,4,1,0,0,0,0,0,0,0.0,ITA-Serie A,Inter,26-201,"LB,LM,DF,MF"
Adrien Rabiot,MF,FRA,16268,13965,217,210,18557,206.5,35,21,56,35,0,0,56,0,24.5,23.8,28.699999999999996,51.800000000000004,504,840,742,1.1900000000000002,0.7000000000000001,1.8900000000000001,1.1900000000000002,1.8900000000000001,0.84,0.9800000000000001,1.82,0.77,1.75,594,1,1,0,0,12,4,2,0,6,7,0,9,4,3,0,0,0,0,0,0,0.0,ITA-Serie A,Juventus,29-056,"CM,DM"
Maximilian Wöber,DF,AUT,23240,19980,250,240,20660,230.0,20,30,50,20,0,0,40,10,13.0,13.0,16.0,29.0,320,1280,230,0.8999999999999999,1.3,2.2,0.8999999999999999,2.2,0.6,0.7000000000000001,1.3,0.6,1.3,587,0,0,0,0,5,1,2,0,8,3,0,11,3,4,0,0,0,0,0,0,0.0,GER-Bundesliga,Gladbach,26-115,"LB,DF,CB"
Ardian Ismajli,DF,ALB,16268,13972,182,161,14315,158.9,0,0,0,0,0,0,14,0,2.1,2.1,0.7000000000000001,2.8000000000000003,63,343,21,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.14,0.07,0.14,585,0,0,0,0,4,1,1,0,6,3,0,0,2,3,0,0,0,0,0,0,0.0,ITA-Serie A,Empoli,27-242,CB
Kieran Tierney,DF,SCO,18592,15976,160,112,9904,110.4,0,16,16,0,0,0,8,0,1.6,1.6,4.8,6.4,176,616,312,0.0,1.2,1.2,0.0,1.2,0.08,0.4,0.48,0.08,0.48,578,0,0,0,0,0,0,1,0,2,0,0,8,4,5,0,0,0,0,0,0,0.0,ESP-La Liga,Real Sociedad,26-359,"CB,DF,MF"
